"MENU NAME","OPTION NUMBER","TYPE M/C/P","OPTION DESCRIPTION ENGLISH","OPTION DESCRIPTION FRENCH","OPTION DESCRIPTION SPANISH","COMMAND TO PROCESS OPTION","EFFECTIVE DATE OF OPTION","Hidden Needs Special Auth","Update Option =U","Usage Type R/I/M"
"DSJOBM16",68,"C","Inventory Highlight Inquiry","Requête sur l'inventaire mis en évidence","Inventory Highlight Inquiry","CALL DS0432 PARM('I')","2012-12-20","N","N",""
"DSJOBM16",70,"C","eSelecting Order Assignment","Imputation commandes sélection élec","Asignación de Ordenes de eSeleccion","CALL ES0013","2005-08-13","N","Y",""
"DSJOBM16",71,"C","eSelecting Order Selection","Sélection des commandes sélection élec","Selección de Ordenes de eSeleccion","CALL ES0001 'RF'","2005-10-08","N","Y",""
"DSJOBM16",72,"P","Order Finalization Documents","Documents de finalisation commandes","Documentos de Finalización de Orden","CALL OE0078MU","2005-08-13","N","Y",""
"DSJOBM16",73,"C","eSelecting Assignment Review","Revoir tâches sélection élec","revisión de Asignación de eSelecion","CALL ES0018","2005-08-13","N","N",""
"DSJOBM16",74,"C","Move Pallet","Déplacer palette","Mover la Tarima","CALL ES0008P","2005-08-20","N","Y",""
"DSJOBM16",75,"C","Scan Item Test","Test numériser article","Prueba de Escaneo de Item","CALL DS0112","2005-02-12","N","N",""
"DSJOBM16",76,"C","Pallet Inquiry by Bin Number","Requête sur les palettes par numéro d'emplacement","Consulta de Tarima por Ubicación","CALL PL0060","2005-10-22","N","N",""
"DSJOBM16",77,"P","Truck Over Allocation Put Away","Camions hors service en raison de suraffectation","Colocación de Sobre Ubicación de Camión","CALL ER0012MU","2005-11-21","N","Y",""
"DSJOBM16",78,"P","Bin Status Error Correction","Correction erreurs emplacement","Corrección de Errores en el Estatus de las Ubicaciones","CALL ER0011MU1","2005-11-05","N","Y",""
"DSJOBM16",79,"C","eSelecting Truck Entry","Saisie de camions - sélection élec","Ingreso de Camión de eSelector","CALL PL0050MU1","2006-02-11","N","Y",""
"DSJOBM16",80,"P","eReceiving Statistics Inquiry","Rapport statistiques - réception élec","eReceiving Statistics Inquiry","CALL ER0920MU","2010-06-12","N","N",""
"DSJOBM16",81,"C","Recreate Target Haz Mat 214 Documents","Recréer documents cibles mat dangereuses 214","Recreate Target Haz Mat 214 Documents","CALL PGM(TGHAZ05) PARM('TARGET')","2011-08-05","N","Y",""
"DSJOBM16",83,"P","Target Delivery Appointment Inquiry","Requête sur les rendez-vous de livraison cibles","Target Delivery Appointment Inquiry","CALL TRG007MU2","2011-08-17","N","N",""
"DSJOBM16",84,"P","eSelecting Statistics Inquiry","Rapport statistiques - sélection élec","eSelecting Statistics Inquiry","CALL PGM(ES0920MU)","2012-12-04","N","N",""
"DSJOBM16",85,"P","Build the eSelecting Statistics","Créer statistiques - sélection élec","Build the eSelecting Statistics","CALL PGM(ESB030MU)","2012-12-04","N","N",""
"DSJOBM16",86,"P","Road Net Order/Route Build","Créer commande/route réseau routier","Road Net Order/Route Build","CALL RDN010MU","2016-08-26","N","Y","M"
"DSJOBM16",87,"C","Bin Scanner Status Maintenance","Bin Entretien détat du Scanner","Mantenimiento de estado del Escáner Bin","CALL PGM(DSB140) PARM('M' ' ' '         ' ' ')","2016-11-16","N","Y","M"
"DSJOBM16",88,"C","Bin Scanner Status Inquiry","Bin état du Scanner Inquiry","Su mensaje Bn estado del escáner","CALL DSB140 ('I' '  ' '   ' '          ' ' ')","2016-11-16","N","Y","I"
"DSJOBM16",89,"P","Road Net Route Update","Road Net Route Update","Road Net Route Update","CALL RDN101MU","2016-12-02","N","Y","M"
"DSJOBM16",92,"P","Reset Orders for QC","Reset Orders for QC","Reset Orders for QC","CALL QC0110MU","2017-08-02","N","Y","M"
"DSJOBM16",93,"C","Container Review","Container Review","Container Review","CALL ES0051","2018-10-19","N","Y","M"
"DSJOBM16",94,"C","WB Mason Route Maintenance","WB Mason Route Maintenance","WB Mason Route Maintenance","CALL PGM(WBM002) PARM('M' 'L')","2020-03-06","N","U","M"
"DSJOBM16",95,"C","WB Mason Route Inquiry","WB Mason Route Inquiry","WB Mason Route Inquiry","CALL PGM(WBM002) PARM('I' 'L')","2020-03-06","N","N","I"
"DSJOBM16",96,"C","Item Bin Type Change","Item Bin Type Change","Item Bin Type Change","CALL PGM(ITBINTC1)","2020-04-03","N","Y",""
"DSJOBM16",101,"C","Mexico Equipment Maintenance","Mexico Equipment Maintenance","Mexico Equipment Maintenance","CALL EQP050MU PARM('M')","2022-04-08","N","Y",""
"DSJOBM16",102,"C","Mexico Equipment Inquiry","Mexico Equipment Inquiry","Mexico Equipment Inquiry","CALL EQP050MU PARM('I')","2022-04-08","N","N",""
"DSJOBM16",103,"C","Mexico Driver Maintenance","Mexico Driver Maintenance","Mexico Driver Maintenance","CALL DRV050MU PARM('M')","2022-04-08","N","Y",""
"DSJOBM16",104,"C","Mexico Driver Inquiry","Mexico Driver Inquiry","Mexico Driver Inquiry","CALL DRV050MU PARM('I')","2022-04-08","N","N",""
"DSJOBM16",105,"P","Remove Order Finalization Lock","Supprimer le verrou de Finalisation de la commande","Quitar bloqueo de Finalización de pedidorio","CALL PGM(OE00781)","2023-11-17","N","Y",""
"DSJOBM16",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"DSJOBM16R",1,"P","Order Scheduling Report","Rapport ordonnancement commande","Reporte de Calendario de Ordenes","CALL DS0018MU","2005-02-12","N","N",""
"DSJOBM16R",2,"P","Route Profitability Report","Rapport de rentabilité route","Reporte de Utilidad de Ruta","CALL DS00181MU","2005-02-12","N","N",""
"DSJOBM16R",3,"P","Inventory Activity Report By Bin Loc","Rapport activité inventaire par emplacement de magasin","Reporte de Actividad de Inventario por Ubicación","CALL DS00182MU","2005-02-12","N","N",""
"DSJOBM16R",4,"P","Route Report","Rapport route","Reporte de Ruta","CALL DS00183MU","2005-02-12","N","N",""
"DSJOBM16R",5,"P","Route Bulk Pull Report","Rapport sur demande - routes en masse","Reporte de Surtido Bulk de Ruta","CALL DS00184MU","2005-02-12","N","N",""
"DSJOBM16R",6,"P","Pick Ticket Manifest","Manifeste bordereaux de colisage","Manifiesto de Orden de Surtido","CALL DS00185MU","2005-02-12","N","N",""
"DSJOBM16R",10,"P","P.O. Scheduled Delivery List","Liste de livraisons prévues C.A.","Listado de Entregas por Calendario de OC","CALL DS00186MU","2005-02-12","N","N",""
"DSJOBM16R",11,"P","Summary of Receipts against Schedule","Sommaire de réceptions contre horaire","Resumen de Recibos contra Calendario","CALL DS00187MU","2005-02-12","N","N",""
"DSJOBM16R",12,"P","Daily Route Listing","Liste de routes quotidiennes","Listado Diario de Rutas","CALL BDY001PMU","2005-02-12","N","N",""
"DSJOBM16R",13,"P","Daily Receiver Stats Report","Rapport stats quotidien réceptionnaire","Reporte de estadísticas diarias por Receptor","CALL RSB008CLMU","2005-02-12","N","N",""
"DSJOBM16R",14,"P","Michaels Crossdock Manifest","Manifeste transbordement direct Michaels","Michaels Crossdock Manifest","CALL MS0001MU","2014-09-08","N","N",""
"DSJOBM16R",20,"P","Inventory Report By Bin ID/Item #","Rapport d'inventaire selon ID emplacement/# article","Reporte de Inventario por Ubicación/ No Item","CALL DS00188MU","2005-02-12","N","N",""
"DSJOBM16R",21,"P","Print Bin ID Master File","Imprimer fichier maître ID emplacement","Imprimir archivo maestro de Ubicaciones","CALL DS00189MU","2005-02-12","N","N",""
"DSJOBM16R",23,"P","Available Bin List","Liste d'emplacements disponibles","Lista de ubicaciones Disponibles","CALL DS001810MU","2005-02-12","N","N",""
"DSJOBM16R",24,"P","Primary Bin List","Liste d'emplacements primaires","Lista de ubicaciones Primarias","CALL DS001811MU","2005-02-12","N","N",""
"DSJOBM16R",25,"P","Bin Transaction History Rpt","Rapport historique de transactions d'emplacement","Reporte de Transacciones Historias de Ubicación","CALL IN0024MU","2005-02-12","N","N",""
"DSJOBM16R",26,"P","Receiving Activity Report","Rapport d'activité réception","Reporte de actividad en Recibos","CALL DS001812MU","2005-02-12","N","N",""
"DSJOBM16R",27,"P","Customer Routing by ZIP Code","Acheminement client par code ZIP/postal","Ruteo de Clientes por Código Postal","CALL RT0011MU","2005-02-12","N","N",""
"DSJOBM16R",28,"P","Combine Partial Bin List","Combiner liste partielle d'emplacements","Combinar Ubicaciones Parciales","CALL BIN010MU","2005-02-12","N","N",""
"DSJOBM16R",29,"P","Print BOL, Ship/UPS Labels","Imprimer étiquettes connaissement, expédition/UPS","Imprimir Etiquetas Bol, envío /UPS","CALL OE00351MU","2005-02-12","N","N",""
"DSJOBM16R",30,"P","Print Picklist","Imprimer liste de sélection","Imprimir Hojas de Surtido","CALL OE0030MU","2005-02-12","N","Y",""
"DSJOBM16R",31,"P","Customer Manifest Report","Rapport manifeste client","Reporte de manifiesto del Cliente","CALL DS001813MU","2005-02-12","N","N",""
"DSJOBM16R",32,"P","Route Manifest","Manifeste de route","Manifiesto de Ruta","CALL DS001814MU","2005-02-12","N","N",""
"DSJOBM16R",33,"P","Crossdock Manifest","Manifeste transbordement direct","Manifiesto de Cruce de Anden","CALL RTB007PMU","2005-02-12","N","N",""
"DSJOBM16R",34,"P","Lost Opportunity Report","Rapport occasions perdues","Reporte de Oportunidades Perdidas","CALL ART100MU","2005-02-12","N","N",""
"DSJOBM16R",36,"P","Selector Statistics Report","Rapport statistiques sélecteur","Reporte de estadísticas de Selector","CALL DS0525MU","2005-02-12","N","N",""
"DSJOBM16R",37,"P","Receiver Statistics Report","Rapport statistiques réceptionnaire","Reporte de estadísticas de Receptor","CALL RS0002MU","2005-02-12","N","N",""
"DSJOBM16R",38,"P","Open Order Spreadsheet","Feuille de calcul commandes permanentes","Hoja de Calculo de Ordenes Abiertas","CALL RT0013MU","2005-09-10","N","N",""
"DSJOBM16R",40,"P","Open Orders In Non-Pickable Bins Report","Commandes permanentes dans rpt d'emplacements non prélevables","Reporte de Ordenes Abierta en Ubicaciones no surtibles","CALL OEB050MU","2006-06-17","N","N",""
"DSJOBM16R",41,"P","Whse Move Report - DSBINMS ReSeq","Rapport mouvements magasin - DSBINMS ReSeq","Re-Secuencia de DSBINMS - Reporte de Mov de Bodega","CALL IN0026CLMU","2007-05-19","N","Y",""
"DSJOBM16R",44,"P","eWarehouse Statistics Report","Rapport statistiques entrepôt élec","eWarehouse Statistics Report","CALL ES0032MU","2008-02-02","N","N",""
"DSJOBM16R",46,"P","Consolidated Shipment List","Liste d'expéditions consolidées","Consolidated Shipment List","CALL OE0105MU","2008-06-28","N","N",""
"DSJOBM16R",47,"P","eSelecting Statistics Bin Not Scanned Report","eSelecting Statistics Bin Not Scanned Report","eSelecting Statistics Bin Not Scanned Report","CALL ES0034MU","2017-02-17","N","N","M"
"DSJOBM16R",48,"P","Hazardous Material Report By Bins","Rapport matières dangereuses par emplacement","Hazardous Material Report By Bins","CALL HAZ010MU","2010-03-06","N","N",""
"DSJOBM16R",49,"P","eReceiving Statistics Spreadsheet","Réception électronique feuille de calcul statistiques","eReceiving Statistics Spreadsheet","CALL ER0915MU","2010-06-12","N","N",""
"DSJOBM16R",50,"P","eReceiving Vendor Statistics Report","Réception électronique rapport statistiques fournisseur","eReceiving Vendor Statistics Report","CALL ER0035MU","2010-08-08","N","N",""
"DSJOBM16R",51,"P","Daily Truck Fill Report","Rapport quotidien de chargement de camions","Daily Truck Fill Report","CALL DS0512SMU","2012-07-26","N","N",""
"DSJOBM16R",52,"C","Inventory Item Report","Rapport d'articles en inventaire","Inventory Item Report","CALL DS0431","2012-10-11","N","Y",""
"DSJOBM16R",53,"P","Customer/Ship-To Accessorial Report","Rapport frais accessoires client/expédier à","Customer/Ship-To Accessorial Report","CALL ACC004MU","2014-06-26","N","N",""
"DSJOBM16R",54,"C","Print All Consolidated Invoices","Print All Consolidated Invoices","Print All Consolidated Invoices","CALL OEB501CL","2017-04-21","N","N","R"
"DSJOBM16R",55,"P","Road Net Service Location Build","Road Net Service Location Build","Road Net Service Location Build","CALL RDN001MU","2021-05-14","N","Y","M"
"DSJOBM16R",56,"P","RoadNet Completed Route History Report","RoadNet Completed Route History Report","RoadNet Completed Route History Report","CALL RDN410MU","2019-06-28","N","N","M"
"DSJOBM16R",58,"C","Printed Orders Not Confirmed/Finalized","Commandes imprimées non confirmées/finalisées","Pedidos impresos no confirmados/finalizados","CALL OEB135","2019-08-16","N","N",""
"DSJOBM16R",59,"P","Print Haz Mat Weight Summary","Imprimer le récapitulatif du grammage","Imprimir resumen de peso de la alfombra de peligro","CALL HAZ016MU","2022-02-04","N","N",""
"DSJOBM16R",60,"M","Warehouse On Line Menu","Menu en ligne entrepôt","Menu de Bodega","DSJOBM16","2005-02-12","N","N",""
"DSJOBM16R",62,"M","Warehouse Label Menu","Menu d'étiquettes entrepôt","Menu de Etiquetas de Bodega","DSJOBM162","2005-02-12","N","N",""
"DSJOBM16R",63,"C","Ship Via Lock Down Report","Ship Via Lock Down Report","Ship Via Lock Down Report","CALL PGM(DS0807MU) PARM('DSJOBM16R' ' 63' '166' 'L')","2022-02-04","N","N","R"
"DSJOBM16R",64,"C","PIV Checklist Logs Report","PIV Checklist Logs Report","PIV Checklist Logs Report","CALL PIVERR01CL PARM('N')","2023-06-09","N","N",""
"DSJOBM16R",65,"C","Delivery Group Rating Report","Delivery Group Rating Report","Delivery Group Rating Report","CALL LCHISTGRP1","2023-06-23","N","N",""
"DSJOBM16R",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"DSJOBM162",1,"P","SSCC18 Label Reprint","Réimprimer étiquette SSCC18","Re impresión de Etiquetas SSCC18","CALL DSPLBLRPMU","2005-02-12","N","N",""
"DSJOBM162",2,"P","Print Order Number Labels","Imprimer étiquettes numéros de commande","Imprimir etiquetas de números de Orden","CALL DSKH001MU","2005-02-12","N","N",""
"DSJOBM162",3,"P","Print Freight Labels","Imprimer étiquettes de transport","Imprimir Etiquetas de Flete","CALL DSKH002MU","2005-02-12","N","N",""
"DSJOBM162",4,"P","Party City Label Reprint","Réimprimer étiquette Party City","Reimpresión de Etiquetas de Party City","CALL DSLBL01CMU","2005-02-12","N","N",""
"DSJOBM162",5,"P","Non-Stock Labels","Étiquettes hors stock","Etiquetas de Item Fuera de línea","CALL LB0001MU","2005-02-12","N","N",""
"DSJOBM162",6,"P","Print UPS/Shipping Labels","Imprimer étiquettes UPS/expédition","Imprimir Etiquetas de envío/UPS","CALL OE0035MU","2005-02-12","N","N",""
"DSJOBM162",7,"P","Print Bar Code Labels","Imprimer étiquettes de codes à barres","Imprimir Etiquetas de Código de Barras","CALL OE0037MU","2005-02-12","N","N",""
"DSJOBM162",8,"P","Reprint Ship To Pallet Labels","Réimprimer étiquettes de palette Expédier à","Reimprimir Etiquetas de envío para Tarimas","CALL STLABRPMU","2005-02-12","N","N",""
"DSJOBM162",9,"P","Reprint Item Labels","Réimprimer étiquettes articles","Reimprimir Etiquetas de Items","CALL OEB072MU","2005-02-12","N","N",""
"DSJOBM162",10,"P","Smart & Final Label Reprint","Réimprimer étiquette Smart & Final","reimpresión de Etiquetas para Smart & Final","CALL DSLBL012MU","2005-02-12","N","N",""
"DSJOBM162",11,"P","SAKS Pallet Label Reprint","Réimprimer étiquettes de palette SAKS","reimpresión de Etiquetas para tarimas de SAKS","CALL DSLBL02MU","2005-02-12","N","N",""
"DSJOBM162",12,"P","WAWA/Mclane Label Reprint","Réimprimer étiquettes WAWA/Mclane","reimpresión de Etiquetas para WAWA/Mclane","CALL DSLBL201MU","2005-02-12","N","N",""
"DSJOBM162",13,"P","WAWA/Mclane Label Change","Changer étiquettes WAWA/Mclane","Cambio de Etiquetas para WAWA/Mclane","CALL DSLBL202MU","2005-02-12","N","N",""
"DSJOBM162",14,"P","Maintain Mexico Ship Labels","Mettre à jour étiquettes expédition Mexique","Mtto de Etiquetas para Walmart Mexico","CALL DSMX001MU","2005-02-12","N","N",""
"DSJOBM162",15,"P","Reprint Mexico Ship Labels","Réimprimer étiquettes expédition Mexique","reimpresión de Etiquetas para Walmart Mexico","CALL DSMX002MU","2005-02-12","N","N",""
"DSJOBM162",16,"P","FSA Label Reprint","Réimprimer étiquette FSA","reimpresión de Etiquetas para FSA","CALL DSLBL03CMU","2005-02-12","N","N",""
"DSJOBM162",17,"C","HannaFord Label Reprint","Réimprimer étiquettes HannaFord","reimpresión de Etiquetas para HannaFord","CALL DSLBL04CL","2005-06-25","N","N",""
"DSJOBM162",18,"C","eWarehouse Pallet Labels","Étiquettes de palette entrepôt élec","Etiquetas de Tarima para eBodega","CALL DSEWH001","2005-07-30","N","N",""
"DSJOBM162",19,"C","Grainger Label Reprint","Réimprimer étiquettes Grainger","reimpresión de Etiquetas para Grainger","CALL DSLBL05CL","2005-09-24","N","N",""
"DSJOBM162",20,"C","Staples Label Reprint","Réimprimer étiquettes Bureau en gros","reimpresión de Etiquetas para Staples","CALL DSLBL01CL PARM('Q')","2005-09-24","N","N",""
"DSJOBM162",21,"P","USF Label Reprint","Réimprimer étiquette USF","Reimpresión de etiquetas USF","CALL DSLBL21CMU","2023-07-27","N","N",""
"DSJOBM162",22,"C","Foodlion Label Reprint","Réimprimer étiquettes Foodlion","reimpresión de Etiquetas Foodlion","CALL DSLBL08CL","2007-02-24","Y","N",""
"DSJOBM162",23,"P","Print New Pallet Label","Imprimer nouvelle étiquette de palette","Imprimir Etiquetas de Tarima Nuevas","CALL PL0003","2007-04-21","N","N",""
"DSJOBM162",24,"C","SP Richards Label Reprint","Réimprimer étiquettes SP Richards","reimpresión de Etiquetas para SP Richards","CALL DSLBL09CL","2007-06-30","N","N",""
"DSJOBM162",25,"P","URM Label Reprint","Réimprimer étiquettes URM","URM Label Reprint","CALL DSLBL12CMU","2010-03-27","N","N",""
"DSJOBM162",26,"P","Unified Grocers Label Reprint","Réimprimer étiquettes Unified Grocers","Unified Grocers Label Reprint","CALL DSLBL13CMU","2013-01-15","N","N",""
"DSJOBM162",27,"P","E_Type Label Reprint","Réimprimer étiquettes E_Type","reimpresión de Etiquetas para E_Type","CALL DSLBL15CMU","2019-04-12","N","N","M"
"DSJOBM162",28,"P","Ahold Item Label Reprint","RÉIMPRIMER ÉTIQUETTE AHOLD","REIMPRESIÓN DE ETIQUETAS AHOLD","CALL DSLBL28CL","2024-04-26","N","N",""
"DSJOBM162",29,"C","Roundy's Label Reprint","Réimprimer étiquette Roundy's","Reimpresión de Etiquetas de Roundy","CALL DSLBL06CL","2024-05-24","N","N",""
"DSJOBM162",30,"C","Print Barcode Label for Printer","Imprimer étiquette code à barres pour imprimante","Imprimir Etiqueta con Código de Barras para Impresora","CALL DSLBQ100MU","2006-09-09","N","N",""
"DSJOBM162",31,"P","Reprint RF Item Labels","Réimprimer étiquettes articles RF","Reimprimir Etiquetas de Item de RF","CALL DSLB100MU","2006-10-07","N","N",""
"DSJOBM162",32,"P","Reprint 128 Pallet Labels","Réimprimer étiquettes de palette 128","Reprint 128 Pallet Labels","CALL DSPALLT2CL","2011-12-16","N","N",""
"DSJOBM162",35,"C","Print Temporary Bin Label","Imprimer étiquette emplacement temporaire","Print Temporary Bin Label","CALL LB0010MU","2009-04-18","N","N",""
"DSJOBM162",36,"C","Warehouse Direct Label Reprint","Warehouse Direct Label Reprint","Warehouse Direct Label Reprint","CALL DSLBL31","2017-04-07","N","N","R"
"DSJOBM162",37,"P","Heinen's Item Label Reprint","Réimpression de L'étiquette de l'article de Heinen","Reimpresión de la etiqueta del artículo de Heinen","CALL DSLBL37CL","2024-09-19","N","N",""
"DSJOBM162",40,"P","Supplemental Wal-Mart Pallet Label","Étiquette supplémentaire de palette Wal-Mart","Supplemental Wal-Mart Pallet Label","CALL DSLBL30MU","2009-10-18","N","N",""
"DSJOBM162",41,"P","Target Haz-Mat Placards","Plaques mat. dangereuses Target","Target Haz-Mat Placards","CALL TRGL03CL","2011-05-28","N","N",""
"DSJOBM162",42,"P","Target Stray Item Label","Étiquette article perdu Target","Target Stray Item Label","CALL TRGL01CL","2011-06-04","N","N",""
"DSJOBM162",43,"P","Target Pallet Label Reprint(Not CEVA)","Réimprimer étiquette de palette Target(Not CEVA)","Target Pallet Label Reprint(Not CEVA)","CALL TRGL02CL","2011-06-18","N","N",""
"DSJOBM162",44,"P","Target Haz-Mat Label Reprint","Réimprimer étiquette mat. dangereuses Target","Target Haz-Mat Label Reprint","CALL TRGL04CL","2011-06-18","N","N",""
"DSJOBM162",45,"P","Target Kit Label Reprint","Réimprimer étiquette trousse Target","Target Kit Label Reprint","CALL TRGL05MU","2011-07-29","N","N",""
"DSJOBM162",50,"P","Grand & Toy Shipping Label","Étiquette d'expédition Grand & Toy","Grand & Toy Shipping Label","CALL DSLBGT01MU","2011-08-12","N","N",""
"DSJOBM162",51,"P","FoodHandler Item Label","Étiquette article FoodHandler","FoodHandler Item Label","CALL DSFHL01MU","2012-08-16","N","N",""
"DSJOBM162",52,"P","Standard Bunzl Shipping Label","Étiquette d'expédition standard Bunzl","Standard Bunzl Shipping Label","CALL DSLBL50MU","2014-12-01","N","N",""
"DSJOBM162",60,"M","Warehouse Report Menu","Menu rapports entrepôt","Menu de Reportes de Bodega","DSJOBM16R","2005-02-12","N","N",""
"DSJOBM162",61,"P","Reprint Batch Pick Non-Shipping Labels","Reprint Batch Pick Non-Shipping Labels","Reprint Batch Pick Non-Shipping Labels","CALL DSLB100MU","2024-07-12","N","N",""
"DSJOBM162",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"DSJOBM163",1,"P","eReceiving Items","Réception élec articles","eRecibo de Producto","CALL ER0001MU2","2005-08-13","N","Y",""
"DSJOBM163",2,"P","eInventory Moves","Déplacements inventaire électronique","Movimientos de eInventario","CALL IN0008MU3","2005-10-15","N","Y",""
"DSJOBM163",3,"C","eReceiving Put Away","Réception élec rangement","Colocación de eRecibos","CALL ER0005MU2","2005-08-13","N","Y",""
"DSJOBM163",4,"C","eSelecting Order Selection","Sélection de commandes - sélection élec","Selección de Ordenes de eSeleccion","CALL ES0001 'HH'","2005-10-08","N","Y",""
"DSJOBM163",5,"P","eReceiving Returns","Réception élec retours","Devoluciones de eRecibo","CALL ERT001MU2","2005-08-20","N","Y",""
"DSJOBM163",6,"P","eInventory Adjustment","Inventaire élec ajustement","Ajustes de eInventario","CALL IN0008MU4","2005-10-15","N","Y",""
"DSJOBM163",8,"P","Bin Status Error Correction","Correction d'erreurs état emplacement","Corrección de Errores en el Estatus de las Ubicaciones","CALL ER0011MU2","2005-11-05","N","Y",""
"DSJOBM163",9,"C","Item Inventory Inquiry","Requête sur l'inventaire d'articles","Consulta de Items de Inventario","CALL EIT001","2005-11-05","N","N",""
"DSJOBM163",10,"P","Save UPC# for Corporate","Enregistrer #CUP pour entreprise","Salvar UPC# para Corporativo","CALL ER0905MU2","2005-09-27","N","N",""
"DSJOBM163",40,"C","Pallet/Truck Listing","Liste palettes/camions","Pallet/Truck Listing","CALL PL0015CL","2012-04-25","N","Y",""
"DSJOBM163",41,"C","eSelecting Truck Entry","Sélection élec saisie camions","Ingreso de Camión de eSelector","CALL PL0050MU1","2006-02-11","N","N",""
"DSJOBM163",50,"M","Pallet 128 Entry","Pallet 128 Entry","Pallet 128 Entry","PL0002","2017-05-26","N","N",""
"DSJOBM163",57,"C","Cross Dock Check In and Put Away","Cross Dock Check In and Put Away","Cross Dock Check In and Put Away","CALL ER0025MU2","2018-10-19","N","Y",""
"DSJOBM163",60,"M","Warehouse On Line Menu","Menu en ligne entrepôt","Menu de Bodega","DSJOBM16","2005-08-20","N","N",""
"DSJOBM163",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"DSJOBM17",1,"P","Paid Commission Report","Rapport de commissions versées","Reporte de Comisiones Pagadas","CALL CM0100MU","2005-02-12","N","Y",""
"DSJOBM17",2,"P","Generate Commission Chargebacks","Générer rétrofacturation de commissions","Generar Deducciones sobre Comisiones","CALL DS001819MU","2005-02-12","N","Y",""
"DSJOBM17",3,"P","A/R Balance Charge Back Report","Rapport de rétrofacturation solde C/C","Reporte del Saldo de CxC sobre Deducciones","CALL CM0027MU","2005-02-12","N","Y",""
"DSJOBM17",4,"P","3rd Party Rebate Credits Report","Rapport sur les crédits de remise de tiers","Informe de créditos de reembolso de terceros","CALL CM0110MU","2022-06-10","N","Y",""
"DSJOBM17",5,"P","3rd Party Rebate Adjustment Report","3rd Party Rebate Adjustment Report","3rd Party Rebate Adjustment Report","CALL CM0120MU","2022-08-25","N","Y",""
"DSJOBM17",6,"P","Commission File Maintenance","Mise à jour fichiers commissions","Mantenimiento de Comisiones","CALL CM0001MU","2005-02-12","N","Y",""
"DSJOBM17",7,"P","Print Commission Statements","Imprimer déclarations de commission","Imprimir Estados de Cuenta de Comisiones","CALL DS001820MU","2005-02-12","N","Y",""
"DSJOBM17",8,"P","Sales Commission Register","Registre commissions de vente","Registro de Comisiones sobre Ventas","CALL DS001821MU","2005-02-12","N","Y",""
"DSJOBM17",20,"C","FoodHandler Item File Maintenance","Mise à jour fichiers d'articles FoodHandler","FoodHandler Item File Maintenance","CALL DS0430","2012-08-17","N","Y",""
"DSJOBM17",21,"C","FoodHandler Item File Inquiry","Requête sur les fichiers d'articles FoodHandler","FoodHandler Item File Inquiry","CALL DS0430 PARM('I')","2012-08-17","N","N",""
"DSJOBM17",23,"P","FoodHandler Preliminary Commission Report","Rapport préliminaire de commissions FoodHandler","FoodHandler Preliminary Commission Report","CALL CM0210MU","2012-08-16","N","N",""
"DSJOBM17",24,"P","FoodHandler Detail Commission Report","Rapport détaillé de commissions FoodHandler","FoodHandler Detail Commission Report","CALL CM0211MU","2012-10-11","N","N",""
"DSJOBM17",25,"P","Foodhandler Detail Billnet Report","Foodhandler Detail Billnet Report","Foodhandler Detail Billnet Report","CALL PGM(CM0212MU)","2020-07-17","N","Y","R"
"DSJOBM17",999,"M","General Utilities Menu","Menu utilitaires généraux","Menu de Utilerías Generales","GUMENU01","2006-09-23","*","N",""
"DSJOBM18",1,"P","Customer Master File Inquiry","Requête sur les fichiers maîtres des clients","Consulta de Clientes","CALL AR0001MU","2005-02-12","N","N",""
"DSJOBM18",2,"P","Open/Closed Order Inquiry","Requête sur les commandes ouvertes/fermées","Consulta de Ordenes Abiertas/Cerradas","CALL OE0002MU","2005-02-12","N","N",""
"DSJOBM18",3,"P","Open/Closed DR/CR Memo Inquiry","Requête sur les notes de débit/crédit ouvertes/fermées","Consulta de Notas de Créditos/Debitos Abiertos/Cerrados","CALL OE0002MU1","2005-02-12","N","N",""
"DSJOBM18",4,"P","Inventory Master Inquiry","Requête sur le fichier d' inventaire","Consulta de Inventario","CALL IN0002MU","2005-02-12","N","N",""
"DSJOBM18",5,"P","Purchase Order Inquiry","Requête sur la commande d'achat","Consulta de Ordenes de Compra","CALL PO0002MU","2005-02-12","N","N",""
"DSJOBM18",6,"P","Cust Sell Price Inquiry","Requête sur le prix de vente client","Consulta de Precios de Cliente","CALL OE0015MU","2005-02-12","N","N",""
"DSJOBM18",7,"P","Price Quote Maintenance","Mise à jour devis","Mtto de Cotizaciones de Precios","CALL QO0001MU1","2007-12-01","N","Y",""
"DSJOBM18",8,"P","Print Price Quotes","Imprimer devis","Imprimir Cotizaciones de Precios","CALL QO0002MU","2005-02-12","N","N",""
"DSJOBM18",9,"P","Customer Price Bid Maintenance","Mise à jour prix proposés client","Mtto de Subastas de Clientes","CALL BID001MU","2005-02-12","N","N",""
